Date,Time,Tsu,Vol,Country,City,Location,Mag,"MMI Int","Total Deaths","Total Missing"
19-11-2017,22:43:25,5670,,"New Caledonia","  Loyalty Islands",,7,4,,
23-11-2017,09:43:07,,,China," Chongqing"," Wulong","5,1",4,,
01-12-2017,02:32:04,,,Iran,"  Kerman",,"6,1",5,,
15-12-2017,16:47:23,,,Indonesia,"  Java",,"6,5",7,4,
20-12-2017,19:57:07,,,Iran,"  Alborz",,"4,9",6,2,
26-12-2017,21:24:59,,,Iran," Alborz, Tehran",,4,4,1,
04-01-2018,10:47:07,,,"Balkans Nw","  Montenegro"," Berane","5,1",4,,
06-01-2018,15:22:12,,,Iran,"  Kermanshah",,5,7,,
08-01-2018,00:00:00,,,"The Netherlands"," Groningen",,"3,4",0,,
10-01-2018,02:51:29,5672,,Honduras,,,"7,5",8,,
11-01-2018,06:59:47,,,Iran," Kermanshah",,"5,5",5,,
14-01-2018,09:18:00,5675,,Peru," Yauca",,"7,1",9,2,
23-01-2018,06:35:38,,,Indonesia,"  Java","  Banten","5,9",6,1,
23-01-2018,09:32:29,5673,,Alaska,"  Kodiak Island",,"7,9",9,,
31-01-2018,07:07:29,,,"Afghanistan; Pakistan","  Baluchistan",,"6,2",6,2,
31-01-2018,23:13:04,,,Ecuador,"  Pastaza",,"5,2",4,1,
06-02-2018,15:50:32,,,Taiwan,"  Hualien",,"6,4",0,17,
16-02-2018,23:39:28,,,Mexico,"  Oaxaca",,"7,2",0,14,
25-02-2018,17:44:14,,,"Papua New Guinea"," S Highlands, Hela;  Indonesia",,"7,5",8,145,
28-02-2018,02:45:43,,,"Papua New Guinea","  S Highlands",,"6,1",0,1,
04-03-2018,19:57:29,,,"Papua New Guinea","  S Highlands",,6,0,11,
04-03-2018,23:18:21,,,Oklahoma," Breckenridge, Enid",,"4,2",0,,
06-03-2018,14:14:05,,,"Papua New Guinea","  S Highlands, Hela",,"6,7",0,25,
01-04-2018,08:35:41,,,Iran,"  Kermanshah",,5,0,,
03-04-2018,09:41:35,,,Venezuela,"  Merida",,"4,9",0,,
07-04-2018,05:48:01,,,"Papua New Guinea","  Hela",,"6,3",0,4,
08-04-2018,16:32:52,,,Japan,"  Shimane Prefecture",,"5,7",0,,
10-04-2018,03:12:29,,,Italy,"  Muccia",,"4,7",0,,
18-04-2018,06:29:24,,,Indonesia,"  Java","  Banjarnegara","4,5",2,3,
24-04-2018,00:34:18,,,Turkey,"  Adiyaman",,"5,2",0,,
02-05-2018,04:08:04,,,Iran,"  Kohgiluyeh And Boyer-Ahmad"," Sisakht","5,3",0,,
04-05-2018,22:32:37,5678,6864,"Hawaiian Islands"," Puna District",,"6,9",0,,
05-05-2018,08:58:05,,,Poland,"  Silesian","  Jastrzebie-Zdroj","4,1",0,5,
06-05-2018,06:03:33,5796,7541,Japan,"  Honshu","  S. Of","5,4",0,,
06-05-2018,19:02:36,,,"El Salvador","  La Union, San Miguel",,"5,4",0,,
09-05-2018,10:42:31,,,Afghanistan," Takhar;  Pakistan",,"6,2",0,,
15-05-2018,15:49:34,,,Comoros,"  Mayotte",,"5,9",0,,
27-05-2018,17:51:01,,,China,"  Jilin Province","  Ningjiang","5,3",0,,
05-06-2018,18:40:02,,,Azerbaijan," Shaki-Zaqatala",,"5,3",0,1,
12-06-2018,09:35:48,,,Colombia,"  Pasto",,"4,9",0,2,
13-06-2018,13:06:44,,,Indonesia,"  Madura Island, Java",,"4,6",0,,
17-06-2018,22:59:17,,,Japan,"  Osaka",,"5,5",0,5,
21-07-2018,07:58:00,,,Indonesia," Sumatra"," Solok","5,2",0,1,
22-07-2018,10:07:22,,,Iran,"  Kermanshah",,"5,8",0,,
28-07-2018,22:48:14,5778,,Indonesia,"  Lombok Island",,"6,4",0,17,
05-08-2018,11:47:03,5685,,Indonesia,"  Lombok Island",,"6,9",0,560,
09-08-2018,05:25:38,,,Indonesia,"  Lombok Island",,"5,9",0,6,
12-08-2018,17:44:34,,,China,"   Yunnan Province","  Yuxi",5,0,,
19-08-2018,00:20:07,5686,,"Fiji Islands",,,"8,2",0,,
19-08-2018,04:11:04,5816,,Indonesia,"  Lombok Island",,"6,3",0,2,
19-08-2018,14:56:49,,,Indonesia,"  Lombok Island",,"6,9",0,11,
21-08-2018,21:31:06,5687,,Venezuela,"  Sucre; Trinidad",,"7,3",0,5,
25-08-2018,22:14:02,,,Iran,"  Kermanshah",,6,0,2,
29-08-2018,03:51:01,5688,,"New Caledonia","  Loyalty Islands",,"7,1",0,,
05-09-2018,18:07:15,,,Japan,"  Hokkaido",,"6,6",7,44,
06-09-2018,15:50:11,,,"Fiji Islands",,,"7,9",0,,
07-09-2018,06:24:06,,,Iran,"  Kerman",,"5,6",0,1,
08-09-2018,02:32:14,,,China," Yunnan Province","  Mojiang Hani","5,7",0,,
12-09-2018,04:50:57,,,India,"  West Bengal",,"5,3",0,1,
28-09-2018,07:00:14,,,Indonesia,"  Sulawesi",,"6,1",0,1,
28-09-2018,10:02:25,5689,,Indonesia,"  Sulawesi",,"7,5",8,4340,667
07-10-2018,00:11:22,,,Haiti," Port-Dex-Paix",,"5,9",0,18,
10-10-2018,18:44:28,,,Indonesia,"  Madura Island, Java",,6,5,4,
16-10-2018,01:03:58,5725,,"New Caledonia","  Loyalty Islands",,"6,5",0,,
25-10-2018,22:55:03,5690,,Greece,"  Ionian Sea","  Zakynthos, Strofades","6,8",0,,
14-11-2018,23:02:24,,,Indonesia,"  Sulawesi","  Mamasa","5,5",0,7,
25-11-2018,16:38:23,,,Iran," Kermanshah; Iraq"," Kurdistan","6,3",0,1,
28-11-2018,14:44:39,,,Afghanistan,"  Hindu Kush","  Baghlan","4,9",0,,
30-11-2018,17:29:16,,,Alaska,"  Anchorage",,7,0,,
05-12-2018,04:18:42,5698,,"New Caledonia","  Loyalty Islands",,"7,5",0,,
15-12-2018,20:22:23,,7244,"Vanuatu Islands"," Ambrym Island",,"5,4",0,,
16-12-2018,04:47:26,,,China,"  Sichuan","  Yibin","5,3",0,,
22-12-2018,05:38:27,,,"Mozambique; Zimbabwe",,,"5,6",0,,
26-12-2018,02:19:00,,7284,Italy,"  Sicily","  Catania",5,0,,
03-01-2019,00:48:37,,,China,"  Sichuan","  Yibin","4,8",0,,
06-01-2019,13:41:06,,,Iran,"  Kermanshah"," Sarpol-E Zahab","5,6",0,,
12-01-2019,08:59:04,,,Poland,"  Rudna",,"3,7",0,1,
20-01-2019,01:32:48,,,Chile,"  Coquimbo, La Serena",,"6,7",0,2,
22-01-2019,22:35:08,,,Poland,"  Rydultowy",,"3,9",0,1,
26-01-2019,12:33:23,,,Colombia,"  Cauca, Huila",,"5,6",0,1,
01-02-2019,10:23:54,,,India,"  Maharashtra","  Palghar","3,6",0,1,
01-02-2019,16:19:29,,,Mexico,"  Chiapas; Guatemala","  San Marcos","6,7",0,,
05-02-2019,19:35:21,,,Azerbaijan,"  Shemakha (Semacha)",,5,0,,
22-02-2019,10:18:17,,,Ecuador," Azuay, Manabi, Morona Sant.; Peru",,"7,5",0,1,
25-02-2019,05:16:25,,,China,"  Sichuan Province"," Rongxian","4,9",0,2,
27-02-2019,23:27:24,,,Indonesia," Sumatra"," Solok","5,4",0,,
01-03-2019,08:50:42,,,Peru,"  Arequipa",,7,0,1,
17-03-2019,07:07:25,,,Indonesia,"  Lombok Island",,"5,6",0,6,
21-03-2019,09:15:40,,,Tanzania,"  Songwe, Mbeya",,"5,5",0,1,
12-04-2019,11:40:49,,,Indonesia,"  Sulawesi Island"," Luwuk","6,8",0,1,
18-04-2019,05:01:06,,,Taiwan,"  Hualien",,"6,1",0,1,
22-04-2019,09:11:11,,,Philippines,"  Pampanga Province",,"6,1",0,18,3
06-05-2019,21:19:35,,,"Papua New Guinea","  Morobe"," Wampar","7,2",0,,
14-05-2019,12:58:25,5705,,"Papua New Guinea","  Rabaul, Duke Of York Is",,"7,6",0,,
17-05-2019,22:24:52,,,China,"  Jilin Province","  Songyuan","4,8",0,,
22-05-2019,03:48:59,,,"The Netherlands"," Groningen",,"3,2",0,,
26-05-2019,07:41:14,,,Peru,"  La Libertad, Cajamarca; Ecuador",,8,0,2,
30-05-2019,09:03:32,,,"El Salvador","  San Salvador",,"6,6",0,1,
01-06-2019,04:26:19,,,Albania,"  Korce",,"5,2",0,,
14-06-2019,00:19:12,5710,,Chile,"  Coquimbo",,"6,4",0,,
15-06-2019,22:55:02,5711,,"Kermadec Islands","  S Of, Raoul",,"7,2",0,,
17-06-2019,14:55:45,,,China,"  Sichuan","  Yibin","5,8",0,13,
18-06-2019,13:22:19,5712,,Japan,"  Niigata Prefecture",,"6,4",0,,
01-07-2019,12:12:07,,,Poland,"  Katowice",,"3,1",0,3,
04-07-2019,17:33:49,,,California,"  Ridgecrest;  Nevada",,"6,4",0,1,
06-07-2019,03:19:52,,,California,"  Ridgecrest",,"7,1",0,,
08-07-2019,07:00:31,,,Iran,"  Masjed-E Soleyman",,"5,7",0,1,
09-07-2019,12:37:01,,,Philippines,"  Mindanao","  Makilala, Tulunan","5,6",0,1,
12-07-2019,20:42:55,,,Philippines," Mindanao"," Surigao Del Sur Province","5,8",0,,
14-07-2019,09:10:50,,,Indonesia,"  Molucca Islands","  N","7,3",0,8,
19-07-2019,11:13:16,,,Greece,"  Athens",,"5,3",0,,
24-07-2019,19:33:15,,,India,"  Maharashtra","  Palghar","3,8",0,1,
26-07-2019,23:37:58,,,Philippines,"  Batanes","  Itbayat",6,0,9,
